Crop,N (kg/ha),P (kg/ha),K (kg/ha),pH,Temperature (°C),Humidity (%),Rainfall (mm),Yield (tons/ha),Price_per_ton (Rs),Ideal_Temp (°C),Ideal_Rainfall (mm)
Rice,150,60,60,5.5-6.5,25-35,70-80,1000-2000,5-6,23000,25-30,1500-2500
Maize,135,62.5,50,5.5-7.5,20-30,60-80,500-800,4-5,21000,18-30,500-800
Ragi (Finger millet),100,50,50,5.0-8.2,20-30,60-70,350-500,2-3,30000,25-30,500-1000
Jowar (Sorghum),80,40,40,5.5-7.5,25-35,50-70,400-600,2-3,25000,25-35,400-600
Bajra (Pearl millet),80,40,40,6.0-7.0,25-35,50-70,300-500,1.5-2,22000,25-35,300-500
Cumbu,80,40,40,6.0-7.0,25-35,50-70,300-500,1.5-2,22000,25-35,300-500
Kodo millet,40,20,20,5.5-7.0,20-30,60-70,400-600,1-1.5,35000,20-30,400-600
Little millet,40,20,20,5.5-7.0,20-30,60-70,400-600,1-1.5,35000,20-30,400-600
Foxtail millet,40,20,20,5.5-7.0,20-30,60-70,400-600,1-1.5,35000,20-30,400-600
Barnyard millet,40,20,20,5.5-7.0,20-30,60-70,400-600,1-1.5,35000,20-30,400-600
Black gram,20,40,20,6.0-7.0,25-35,60-70,400-600,0.7-0.9,55000,25-35,400-600
Green gram,20,40,20,6.0-7.0,25-35,60-70,400-600,0.7-0.9,55000,25-35,400-600
Red gram (Tur),20,40,20,6.0-7.0,25-35,60-70,400-600,0.7-0.9,55000,25-35,400-600
Bengal gram,20,40,20,6.0-7.0,15-25,40-60,300-500,0.5-0.7,55000,15-25,300-500
Horse gram,20,40,20,6.0-7.0,20-30,50-70,300-500,0.5-0.6,50000,20-30,300-500
Cowpea,20,40,20,6.0-7.0,25-35,60-70,400-600,0.6-0.8,50000,25-35,400-600
Groundnut,25,50,75,5.5-7.0,25-35,60-70,500-700,1.5-2,60000,25-35,500-750
Sesame,60,30,30,6.0-7.5,25-35,60-70,400-600,0.5-0.7,60000,25-35,400-600
Sunflower,60,30,30,6.0-7.5,20-30,60-70,500-700,1.5-2,40000,20-30,500-700
Castor,45,45,45,6.0-7.5,25-35,60-70,500-700,1-1.5,50000,25-35,500-700
Mustard,60,30,30,6.0-7.5,15-25,40-60,300-500,1-1.5,55000,15-25,300-500
Sugarcane,275,112.5,120,6.5-7.5,25-35,70-80,1500-2500,100-120,23500,25-30,1500-2500
Cotton,120,60,60,6.0-8.0,20-30,60-70,500-800,2-3 (lint),23500,20-30,500-800
Tobacco,50,30,30,5.5-7.0,20-30,60-70,600-800,2-3,30000,20-30,600-800
Betel leaf,150,75,75,5.5-6.5,25-35,80-90,1500-2500,100-150 (leaves/ha),500000,25-30,1500-2000
Turmeric,60,30,30,6.0-7.5,25-35,70-80,800-1200,20-25,60000,25-30,800-1200
Chilli,100,50,50,6.0-7.5,25-35,70-80,800-1200,2-3 (dry),100000,25-30,800-1200
Coriander,60,30,30,6.0-7.5,20-30,60-70,500-700,1-1.5,55000,20-30,500-700
Cumin,60,30,30,6.0-7.5,15-25,40-60,300-500,1-1.5,55000,15-25,300-500
Cardamom,150,75,75,5.5-6.5,20-30,80-90,1500-2500,0.2-0.3,200000,20-30,1500-2500
Pepper,150,75,75,5.5-6.5,25-35,80-90,1500-2500,2-3,150000,25-30,1500-2500
Clove,150,75,75,5.5-6.5,25-35,80-90,1500-2500,0.3-0.5,300000,25-30,1500-2500
Nutmeg,150,75,75,5.5-6.5,25-35,80-90,1500-2500,0.3-0.5,300000,25-30,1500-2500
Mango,100,50,100,6.0-7.5,25-35,70-80,800-1200,8-10,50000,25-30,800-1200
Banana,300,90,240,6.5-7.5,25-35,80-90,1500-2500,50-60,20000,25-30,1500-2500
Papaya,200,100,150,6.0-7.0,25-35,70-80,1500-2000,75-100,30000,25-30,1500-2000
Guava,100,50,50,6.0-7.5,25-35,70-80,800-1200,15-20,40000,25-30,800-1200
Grapes,200,100,150,6.0-7.0,25-35,60-70,500-800,20-25,100000,25-30,500-800
Jackfruit,100,50,50,6.0-7.5,25-35,70-80,1000-1500,10-15,40000,25-30,1000-1500
Sapota,100,50,50,6.0-7.5,25-35,70-80,800-1200,8-10,50000,25-30,800-1200
Acid lime,100,50,50,5.5-6.5,25-35,70-80,800-1200,5-6,40000,25-30,800-1200
Pomegranate,100,50,50,6.0-7.5,25-35,60-70,500-800,15-20,60000,25-30,500-800
Tomato,120,60,60,6.0-7.0,20-30,70-80,800-1000,25-30,30000,20-30,800-1000
Brinjal,100,50,50,6.0-7.0,25-35,70-80,800-1000,25-30,25000,25-30,800-1000
Onion,90,45,45,6.0-7.5,20-30,60-70,500-700,15-20,25000,20-30,500-700
Okra,100,50,50,6.0-7.5,25-35,70-80,800-1000,10-12,30000,25-30,800-1000
Drumstick,100,50,50,6.0-7.5,25-35,70-80,800-1200,20-25,50000,25-30,800-1200
Cabbage,120,60,60,6.0-7.0,15-25,60-70,500-700,30-40,20000,15-25,500-700
Cauliflower,120,60,60,6.0-7.0,15-25,60-70,500-700,20-25,25000,15-25,500-700
Beans,60,30,30,6.0-7.0,20-30,60-70,600-800,8-10,40000,20-30,600-800
Moringa,100,50,50,6.0-7.5,25-35,70-80,800-1200,20-30 (pods),40000,25-30,800-1200
Aloe vera,60,30,30,7.0-8.5,25-35,50-70,500-800,15-20 (gel),100000,25-30,500-800
Stevia,60,30,30,6.0-7.5,20-30,60-70,500-700,2-3 (leaves),150000,20-30,500-700
Quinoa,60,30,30,6.0-7.5,15-25,40-60,300-500,1-1.5,80000,15-25,300-500
Teff,40,20,20,6.0-7.5,15-25,40-60,300-500,1-1.5,80000,15-25,300-500
Bamboo,100,50,50,6.0-7.5,25-35,70-80,1000-1500,20-30 (culms),50000,25-30,1000-1500
Milky mushroom,Controlled,Controlled,Controlled,7.0-8.0,25-35,80-90,NA,0.5-1 (per bed),100000,25-35,NA
Button mushroom,Controlled,Controlled,Controlled,6.5-7.5,15-20,60-70,NA,0.2-0.3 (per bed),80000,15-20,NA
Hydroponic lettuce,Controlled,Controlled,Controlled,5.5-6.5,15-25,60-70,NA,40-50,50000,15-25,NA
Tulsi,60,30,30,6.0-7.5,25-35,70-80,800-1200,2-3 (leaves),100000,25-30,800-1200
Ashwagandha,40,20,20,6.5-7.5,25-35,50-70,500-800,0.5-1 (roots),150000,25-30,500-800
Lemongrass,60,30,30,6.0-7.5,25-35,70-80,800-1200,3-4 (oil),200000,25-30,800-1200
Cocoa,150,75,75,5.5-6.5,25-35,80-90,1500-2500,1-2,100000,25-30,1500-2500
Vanilla,150,75,75,5.5-6.5,25-35,80-90,1500-2500,0.5-1,500000,25-30,1500-2500
Dragon fruit,100,50,50,6.0-7.5,25-35,70-80,800-1200,20-25,60000,25-30,800-1200
Avocado,100,50,50,6.0-7.0,20-30,70-80,800-1200,10-15,80000,20-30,800-1200
Blueberry,60,30,30,4.5-5.5,15-25,60-70,500-700,3-4,200000,15-25,500-700
Broccoli,120,60,60,6.0-7.0,15-25,60-70,500-700,15-20,40000,15-25,500-700
Potato,120,60,60,5.5-7.0,15-25,50-70,500-700,20-25,20000,15-25,500-700
Neem,60,30,30,6.0-7.5,25-35,50-70,500-800,5-10 (seeds),50000,25-30,500-800
Tamarind,60,30,30,6.0-7.5,25-35,70-80,800-1200,10-15,40000,25-30,800-1200
